1,1268
2,1219
3,1328
4,1117
5,1167
6,1140
7,1136
8,1125
9,1193
10,1138
11,1110
12,397
13,426
14,530
15,688
16,742
17,672
18,200
19,320
20,312
21,354
22,333
23,211
24,343
25,550
26,231
27,225
28,297
29,280
30,411
31,395
32,61
33,312
34,263
35,362
36,323
37,78
38,78
39,162
40,248
41,175
42,146
43,20
44,51
45,48
46,33
47,145
48,314
49,354
50,345
51,211
52,135
53,186
54,347
55,165
56,90
57,86
58,226
59,245
60,62
61,192
62,165
63,89
64,86
65,374
66,275
67,56
68,376
69,310
70,6
71,48
72,151
73,335
74,61
75,388
76,138
77,129
78,363
79,271
80,4
81,381
82,135
83,123
84,195
85,398
86,346
87,304
88,326
89,190
90,268
91,295
92,363
93,70
94,294
95,175
96,339
97,237
98,202
99,124
100,244
101,44
102,142
103,69
104,391
105,35
106,47
107,199
108,278
109,239
110,151
111,337
112,275
113,379
114,260
115,83
116,205
117,222
118,200
119,221
120,105
121,342
122,338
123,69
124,281
125,92
126,167
127,46
128,74
129,342
130,28
131,203
132,207
133,279
134,2
135,85
136,169
137,271
138,24
139,211
140,16
141,229
142,199
143,256
144,56
145,33
146,55
147,33
148,13
149,122
150,100
151,381
152,167
153,62
154,274
155,389
156,136
157,118
158,188
159,195
160,21
161,171
162,259
163,390
164,316
165,380
166,48
167,246
168,282
169,141
170,215
171,345
172,359
173,11
174,268
175,160
176,26
177,325
178,23
179,356
180,315
181,257
182,204
183,47
184,32
185,335
186,63
187,222
188,269
189,252
190,270
191,398
192,1
193,195
194,373
195,337
196,376
197,247
198,366
199,111
200,327
201,50
202,10
203,138
204,296
205,363
206,160
207,35
208,338
209,106
210,316
211,105
212,377
213,137
214,230
215,7
216,334
217,137
218,172
219,25
220,195
221,390
222,67
223,265
224,296
225,354
226,65
227,209
228,361
229,224
230,177
231,307
232,119
233,17
234,99
235,245
236,11
237,240
238,61
239,375
240,65
241,123
242,332
243,289
244,256
245,155
246,249
247,236
248,310
249,188
250,44
251,379
252,293
253,56
254,89
255,269
256,319
257,227
258,68
259,56
260,86
261,342
262,85
263,91
264,315
265,249
266,75
267,185
268,141
269,223
270,63
271,144
272,385
273,46
274,390
275,274
276,127
277,10
278,131
279,22
280,164
281,364
282,340
283,249
284,1
285,55
286,104
287,201
288,254
289,247
290,244
291,79
292,388
293,353
294,200
295,273
296,44
297,65
298,46
299,30
300,147
301,161
302,22
303,249
304,190
305,323
306,288
307,26
308,166
309,275
310,352
311,189
312,65
313,232
314,300
315,198
316,379
317,300
318,189
319,396
320,205
321,211
322,7
323,65
324,309
325,3
326,394
327,4
328,218
329,110
330,350
331,70
332,131
333,59
334,392
335,97
336,318
337,194
338,348
339,4
340,241
341,217
342,331
343,23
344,104
345,51
346,331
347,335
348,122
349,99
350,262
351,178
352,358
353,385
354,130
355,130
356,67
357,132
358,335
359,120
360,350
361,307
362,384
363,187
364,205
365,175
366,119
367,150
368,369
369,26
370,100
371,39
372,398
373,306
